gfk_code,gfk_text,zensus,alt_rel
31001_1000,Wohngebäude,1,1
31001_1010,Wohnhaus,1,1
31001_1020,Wohnheim,1,1
31001_1021,Kinderheim,1,1
31001_1022,Seniorenheim,1,1
31001_1023,Schwesternwohnheim,1,1
31001_1024,"Studenten-, Schülerwohnheim",1,1
31001_1025,Schullandheim,0,1
31001_1100,Gemischt genutztes Gebäude mit Wohnen,1,1
31001_1110,Wohngebäude mit Gemeinbedarf,1,1
31001_1120,Wohngebäude mit Handel und Dienstleistungen,1,1
31001_1121,Wohn- und Verwaltungsgebäude,1,1
31001_1122,Wohn- und Bürogebäude,1,1
31001_1123,Wohn- und Geschäftsgebäude,1,1
31001_1130,Wohngebäude mit Gewerbe und Industrie,1,1
31001_1131,Wohn- und Betriebsgebäude,1,1
31001_1210,Land- und forstwirtschaftliches Wohngebäude,1,1
31001_1220,Land- und forstwirtschaftliches Wohn- und Betriebsgebäude,1,1
31001_1221,Bauernhaus,1,1
31001_1222,Wohn- und Wirtschaftsgebäude,1,1
31001_1223,Forsthaus,1,1
31001_1310,Gebäude zur Freizeitgestaltung,0,1
31001_1311,Ferienhaus,0,0
31001_1312,Wochenendhaus,0,0
31001_1313,Gartenhaus,0,0
31001_2000,Gebäude für Wirtschaft oder Gewerbe,0,1
31001_2010,Gebäude für Handel und Dienstleistungen,0,1
31001_2020,Bürogebäude,0,1
31001_2030,Kreditinstitut,0,1
31001_2040,Versicherung,0,1
31001_2050,Geschäftsgebäude,0,1
31001_2051,Kaufhaus,0,1
31001_2052,Einkaufszentrum,0,1
31001_2053,Markthalle,0,1
31001_2054,Laden,0,1
31001_2055,Kiosk,0,1
31001_2056,Apotheke,0,1
31001_2060,Messehalle,0,0
31001_2070,Gebäude für Beherbergung,0,1
31001_2071,"Hotel, Motel, Pension",0,1
31001_2072,Jugendherberge,0,1
31001_2073,Hütte (mit Übernachtungsmöglichkeit),0,0
31001_2074,Campingplatzgebäude,0,1
31001_2080,Gebäude für Bewirtung,0,1
31001_2081,"Gaststätte, Restaurant",0,1
31001_2082,Hütte (ohne Übernachtungsmöglichkeit),0,0
31001_2083,Kantine,0,1
31001_2090,Freizeit- und Vergnügungsstätte,0,1
31001_2091,Festsaal,0,1
31001_2092,Kino,0,1
31001_2093,"Kegel-, Bowlinghalle",0,1
31001_2094,Spielkasino,0,1
31001_2100,Gebäude für Gewerbe und Industrie,0,1
31001_2110,Produktionsgebäude,0,0
31001_2111,Fabrik,0,0
31001_2112,Betriebsgebäude,0,1
31001_2113,Brauerei,0,1
31001_2114,Brennerei,0,1
31001_2120,Werkstatt,0,0
31001_2121,Sägewerk,0,0
31001_2130,Tankstelle,0,1
31001_2131,"Waschstraße, Waschanlage, Waschhalle",0,1
31001_2140,Gebäude für Vorratshaltung,0,0
31001_2141,Kühlhaus,0,0
31001_2142,Speichergebäude,0,0
31001_2143,"Lagerhalle, Lagerschuppen, Lagerhaus",0,0
31001_2150,Speditionsgebäude,0,0
31001_2160,Gebäude für Forschungszwecke,0,1
31001_2170,Gebäude für Grundstoffgewinnung,0,1
31001_2171,Bergwerk,0,0
31001_2172,Saline,0,0
31001_2180,Gebäude für betriebliche Sozialeinrichtung,0,1
31001_2200,Sonstiges Gebäude für Gewerbe und Industrie,0,1
31001_2210,Mühle,0,0
31001_2211,Windmühle,0,0
31001_2212,Wassermühle,0,0
31001_2213,Schöpfwerk,0,0
31001_2220,Wetterstation,0,0
31001_2310,Gebäude für Handel und Dienstleistung mit Wohnen,0,1
31001_2320,Gebäude für Gewerbe und Industrie mit Wohnen,0,1
31001_2400,Betriebsgebäude zu Verkehrsanlagen (allgemein),0,0
31001_2410,Betriebsgebäude für Straßenverkehr,0,0
31001_2411,Straßenmeisterei,0,0
31001_2412,Wartehalle,0,0
31001_2420,Betriebsgebäude für Schienenverkehr,0,0
31001_2421,Bahnwärterhaus,0,0
31001_2422,"Lokschuppen, Wagenhalle",0,0
31001_2423,"Stellwerk, Blockstelle",0,0
31001_2424,Betriebsgebäude des Güterbahnhofs,0,0
31001_2430,Betriebsgebäude für Flugverkehr,0,0
31001_2431,Flugzeughalle,0,0
31001_2440,Betriebsgebäude für Schiffsverkehr,0,0
